archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
1152.45,0700,용도변경,20000309,0,50.72,10300,12-4, ,0012,20090320,0, , ,0,0,0004, , ,08,대,1020,일반주거지역, ,1,Z5000, ,11680-4402,2272,0,서울특별시 강남구 개포동 12-4번지, ,1,11680, , , ,16704.93,105,20000316,427.11,9704.07
1152.45,0700,용도변경,20060420,0,50.72,10300,석탑프라자, ,0012,20090320,0, , ,0,0,0004, , , , , , , ,1,03000,제1종근린생활시설,11680-12823,2272,0,서울특별시 강남구 개포동 12-4번지, ,2,11680,석탑프라자 605호, , ,16074.93,0, ,0,0
1152.45,0700,용도변경,19990508,0,51.68,10300,개포동12-4용도변경공사, ,0012,20100325,0, , ,0,0,0004, , ,08,대,1020,일반주거지역, ,1, , ,11680-2644,2229.9,0,서울특별시 강남구 개포동 12-4번지, ,3,11680, , , ,16704.93,0, ,406.96,9074.97
1152.45,0700,용도변경,20101011,0,50.72,10300, , ,0012,20101012,0,UQQ300,지구단위계획구역,0,0,0004, , ,08,대,UQA001,도시지역, ,1,03000,제1종근린생활시설,11680-100027545,2272,0,서울특별시 강남구 개포동 12-4번지, ,4,11680, , , ,16074.93,0, ,399.38,9074.07
1152.45,0700,용도변경,20110117,0,50.72,10300,석탑프라자, ,0012,20110215,0,UQQ300,지구단위계획구역,96,0,0004, , ,08,대,UQA123,제3종일반주거지역, ,1,04000,제2종근린생활시설,11680-100030704,2272,0,서울특별시 강남구 개포동 12-4번지, ,5,11680, , , ,16074.93,0,20110214,399.38,9074.07
1152.45,0700,용도변경,20100723,0,50.72,10300,개포동 12-4 제1종근린생활시설 (정용근), ,0012,20110723,0, , ,0,0,0004, , ,08,대,1023,제3종일반주거지역, ,1,03000,제1종근린생활시설,11680-100025261,2272,0,서울특별시 강남구 개포동 12-4번지, ,6,11680, , , ,16074.93,0, ,399.38,9074.07
1152.45,0700,용도변경,20081216,0,50.72,10300,석탑프라자, ,0012,20110723,0, , ,0,0,0004, , ,08,대,1023,제3종일반주거지역, ,1,03000,제1종근린생활시설,11680-100008536,2272,0,서울특별시 강남구 개포동 12-4번지, ,7,11680, , , ,16074.93,0, ,399.38,9074.07
1152.45,0700,용도변경,20100826,0,51.68,10300, , ,0012,20110723,0, , ,0,0,0004, , ,08,대,UQA123,제3종일반주거지역, ,1,03000,제1종근린생활시설,11680-100026327,2229.9,0,서울특별시 강남구 개포동 12-4번지, ,8,11680, , , ,16074.93,0, ,399.38,0
1152.45,0700,용도변경,20110415,0,50.724,10300, , ,0012,20110723,0,UQQ300,지구단위계획구역,96,0,0004,UNE200,대공방어협조구역,08,대,UQA123,제3종일반주거지역, ,1,04000,제2종근린생활시설,11680-100033306,2272,0,서울특별시 강남구 개포동 12-4번지, ,9,11680, , , ,16074.93,0, ,399.3869,9074.07
1152.45,0700,용도변경,20120904,0,50.72,10300,석탑프라자, ,0012,20120906,0, , ,0,0,0004, , ,08,대, , , ,1,10000,교육연구시설,11680-100044838,2272,0,서울특별시 강남구 개포동 12-4번지, ,10,11680, , , ,16074.92,0, ,399.39,9074.07
