gisIdntfcNo,pnu,ldCode,ldCodeNm,regstrSeCode,regstrSeCodeNm,mnnmSlno,buldIdntfcNo,agbldgSeCode,agbldgSeCodeNm,buldKndCode,buldKndCodeNm,buldDongNm,buldMainAtachSeCode,buldMainAtachSeCodeNm,buldPlotAr,buldBildngAr,buldTotar,measrmtRt,btlRt,strctCode,strctCodeNm,mainPrposCode,mainPrposCodeNm,detailPrposCode,detailPrposCodeNm,buldPrposClCode,buldPrposClCodeNm,buldHg,groundFloorCo,undgrndFloorCo,prmisnDe,useConfmDe,lastUpdtDt,buldNm
2006201260634527866900000000,1111017400100230076,1111017400,서울특별시 종로구 창신동,1,일반,23-76,5072,2,집합건축물,3,표제부,브라운스톤 창신,0,주건축물,2492.5,0,0,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,47.88,15,3,2003-05-09,2006-09-04,2019-01-02,
2002200875294530040400000000,1111017400100230326,1111017400,서울특별시 종로구 창신동,1,일반,23-326,7319,2,집합건축물,3,표제부,,0,주건축물,285.6,162.74,1264.85,299.7,56.98,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,23,6,2,2000-05-22,2002-05-31,2019-01-02,그린아파트
2003201260124528406700000000,1111017400100230816,1111017400,서울특별시 종로구 창신동,1,일반,23-816,10460,2,집합건축물,3,표제부,101동,0,주건축물,4545.4,1401.4,21891.32,331.47,30.83,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,51.2,19,2,2000-07-13,2003-08-08,2019-01-02,창신이수아파트
1999201208764524625400000000,1111017400102320000,1111017400,서울특별시 종로구 창신동,1,일반,232,1888,2,집합건축물,3,표제부,103동,0,주건축물,14549.8,1549.46,31446.37,335.56,24.48,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,62.4,23,2,1996-07-11,1999-04-30,2019-01-02,두산아파트
1999201196904524043000000000,1111017400102320000,1111017400,서울특별시 종로구 창신동,1,일반,232,1889,2,집합건축물,3,표제부,102동,0,주건축물,14549.8,645.23,15445.46,335.56,24.48,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,48.4,18,2,1996-07-11,1999-04-30,2019-01-02,두산아파트
1999201153764524208700000000,1111017400102320000,1111017400,서울특별시 종로구 창신동,1,일반,232,1890,2,집합건축물,3,표제부,101동,0,주건축물,14549.8,804.74,16078.03,335.56,24.48,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,62.4,23,1,1996-07-11,1999-04-30,2019-01-02,두산아파트
0000200903904522337000000000,1111017400105780005,1111017400,서울특별시 종로구 창신동,1,일반,578-5,13134,2,집합건축물,3,표제부,,0,주건축물,1050.2,0,7862.4,0,0,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,0,10,1,,1973-01-25,2019-01-02,
2002200815114528749900000000,1111017400106010000,1111017400,서울특별시 종로구 창신동,1,일반,601,17908,2,집합건축물,3,표제부,101동,0,주건축물,472.2,218.66,1413.45,257.56,46.3,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,23.93,8,1,1997-08-13,2002-12-30,2019-01-02,엠아이디그린아파트
2002200796004528528500000000,1111017400106010001,1111017400,서울특별시 종로구 창신동,1,일반,601-1,20277,2,집합건축물,3,표제부,102동,0,주건축물,376.2,211.66,1508.6,361.69,56.26,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,21.1,7,1,1997-08-13,2002-12-30,2019-01-02,엠아이디그린아파트
2002200815034528507000000000,1111017400106010002,1111017400,서울특별시 종로구 창신동,1,일반,601-2,27811,2,집합건축물,3,표제부,103동,0,주건축물,279.9,146.01,1209,390.24,52.16,21,철근콘크리트구조,02000,공동주택,02001,아파트,1,주거용,23.79,8,1,1997-09-26,2002-12-30,2019-01-02,엠아이디그린아파트
